subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Penjaringan,Jakarta Utara,45.0,80.0,1300.0,Other,2,0,1,0,2,0,1,2,1,0,House Type 120,Unfurnished,4400.0,New,South,Groundwater,False,4.5,city
Penjaringan,Jakarta Utara,120.0,170.0,4400.0,SHM,3,1,1,1,0,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,New,Northeast,Groundwater,False,13.0,city
Penjaringan,Jakarta Utara,200.0,300.0,7000.0,SHM,5,1,2,1,0,0,1,4,1,0,House Type 300,Semi Furnished,5500.0,New,North,Groundwater,False,5.0,city
Pondok Aren,Tangerang Selatan,120.0,120.0,1750.0,Other,2,1,0,1,0,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northeast,Groundwater,False,4.0,city
Pesanggrahan,Jakarta Selatan,67.0,73.0,2600.0,SHM,2,0,1,0,2,0,1,2,1,0,House Type 120,Semi Furnished,2200.0,New,East,Groundwater,False,5.0,city
Cileungsi,Kabupaten Bogor,220.0,200.0,2400.0,SHM,3,1,0,1,2,2,1,4,1,0,House Type 200,Semi Furnished,3500.0,Renovated,North,PAM/PDAM,True,5.5,regency
Kembangan,Jakarta Barat,250.0,450.0,3000.0,SHM,3,0,2,0,2,1,1,4,1,0,House Type >300,Semi Furnished,3300.0,New,South,Groundwater,False,5.0,city
Tanjung Priok,Jakarta Utara,234.0,200.0,5000.0,SHM,4,0,3,0,0,0,1,5,1,0,House Type 200,Semi Furnished,6600.0,New,Northeast,Groundwater,True,12.5,city
Pondok Aren,Tangerang Selatan,212.0,300.0,5300.0,SHM,3,1,2,1,2,0,1,5,1,0,House Type 300,Unfurnished,3300.0,New,Northeast,Groundwater,True,5.1,city
Tanah Sareal,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cinere,Depok,398.0,300.0,4750.0,SHM,4,1,2,1,2,2,2,4,1,0,House Type 300,Furnished,5500.0,New,North,Groundwater,False,13.0,city
Serpong,Tangerang Selatan,112.0,133.0,2200.0,Other,3,1,2,1,0,0,1,4,1,0,House Type 200,Semi Furnished,4400.0,Renovated,North,Groundwater,False,5.0,city
Kelapa Gading,Jakarta Utara,102.0,140.0,2900.0,SHM,2,0,2,0,0,0,1,4,1,0,House Type 200,Unfurnished,3500.0,New,North,Groundwater,False,5.0,city
